fecha,letra,total_cif
2009-11-01,A,16743417
2009-11-01,B,51675200
2009-11-01,C,2086191744
2009-11-01,D,25256956
2009-11-01,E,354574
2009-11-01,F,29842000
2009-11-01,G,955220608
2009-11-01,H,34781944
2009-11-01,I,1699903
2009-11-01,J,140431552
2009-11-01,K,14927954
2009-11-01,L,12305400
2009-11-01,M,33132692
2009-11-01,N,15037748
2009-11-01,P,172386
2009-11-01,Q,4175146
2009-11-01,R,1034091
2009-11-01,S,6301817
2009-11-01,Z,2495333
2009-12-01,A,17332188
2009-12-01,B,52484232
2009-12-01,C,2108307584
2009-12-01,D,12866690
2009-12-01,E,927153
2009-12-01,F,38787344
2009-12-01,G,907889856
2009-12-01,H,62910668
2009-12-01,I,1882561
2009-12-01,J,107906144
2009-12-01,K,14837084
2009-12-01,L,5175809
2009-12-01,M,9359308
2009-12-01,N,14461500
2009-12-01,P,198403
2009-12-01,Q,7565579
2009-12-01,R,1281848
2009-12-01,S,9976355
2009-12-01,Z,2167326
2010-01-01,A,14639004
2010-01-01,B,64038480
2010-01-01,C,1867219072
2010-01-01,D,13912779
2010-01-01,E,676703
2010-01-01,F,34092168
2010-01-01,G,831918976
2010-01-01,H,55572048
2010-01-01,I,2166055
2010-01-01,J,92441592
2010-01-01,K,5364991
2010-01-01,L,4223373
2010-01-01,M,7069036
2010-01-01,N,19197262
2010-01-01,P,169021
2010-01-01,Q,3990915
2010-01-01,R,895278
2010-01-01,S,2702192
2010-01-01,Z,1967036
2010-02-01,A,20131770
2010-02-01,B,49783420
2010-02-01,C,1970686848
2010-02-01,D,21726494
2010-02-01,E,385153
2010-02-01,F,13724044
2010-02-01,G,821700928
2010-02-01,H,29685624
2010-02-01,I,3771594
2010-02-01,J,118171456
2010-02-01,K,4779200
2010-02-01,L,6235115
2010-02-01,M,12724798
2010-02-01,N,19703316
2010-02-01,P,203677
2010-02-01,Q,4321674
2010-02-01,R,3234978
2010-02-01,S,5242842
2010-02-01,Z,2099280
2010-03-01,A,17288064
2010-03-01,B,97261168
2010-03-01,C,2504326656
2010-03-01,D,25996484
2010-03-01,E,423187
2010-03-01,F,32774292
2010-03-01,G,1082028544
2010-03-01,H,244332160
2010-03-01,I,2242585
2010-03-01,J,131093560
2010-03-01,K,6642169
2010-03-01,L,5499893
2010-03-01,M,12833865
2010-03-01,N,26652684
2010-03-01,P,1091657
2010-03-01,Q,5080196
2010-03-01,R,768518
2010-03-01,S,3875947
2010-03-01,Z,3029634
2010-04-01,A,10592811
2010-04-01,B,81351472
2010-04-01,C,2482026752
2010-04-01,D,23131264
2010-04-01,E,304412
2010-04-01,F,22039270
2010-04-01,G,971079040
2010-04-01,H,131758184
2010-04-01,I,3873081
2010-04-01,J,116967792
2010-04-01,K,6124500
2010-04-01,L,3965291
2010-04-01,M,15934791
2010-04-01,N,118904384
2010-04-01,P,235958
2010-04-01,Q,3984587
2010-04-01,R,1139818
2010-04-01,S,3484907
2010-04-01,Z,2218280
2010-05-01,A,12115062
2010-05-01,B,115078848
2010-05-01,C,2553416704
2010-05-01,D,47017240
2010-05-01,E,624314
2010-05-01,F,114310472
2010-05-01,G,1032841856
2010-05-01,H,21248312
2010-05-01,I,3254065
2010-05-01,J,124195496
2010-05-01,K,8540311
2010-05-01,L,5156267
2010-05-01,M,17299032
2010-05-01,N,225973952
2010-05-01,P,640454
2010-05-01,Q,5078836
2010-05-01,R,1770982
2010-05-01,S,6217067
2010-05-01,Z,3921636
2010-06-01,A,14772644
2010-06-01,B,80663496
2010-06-01,C,2737470464
2010-06-01,D,40995052
2010-06-01,E,556461
2010-06-01,F,15345116
2010-06-01,G,1198987648
2010-06-01,H,112510504
2010-06-01,I,3198563
2010-06-01,J,151546432
2010-06-01,K,8785513
2010-06-01,L,4962733
2010-06-01,M,13927577
2010-06-01,N,438140128
2010-06-01,P,167371
2010-06-01,Q,4501251
2010-06-01,R,728394
2010-06-01,S,16785504
2010-06-01,Z,4102001
2010-07-01,A,11893345
2010-07-01,B,107407048
2010-07-01,C,2848403712
2010-07-01,D,22944556
2010-07-01,E,675949
2010-07-01,F,68760608
2010-07-01,G,1286827136
2010-07-01,H,24287686
2010-07-01,I,3112668
2010-07-01,J,143572176
2010-07-01,K,7412278
2010-07-01,L,5527395
2010-07-01,M,10982753
2010-07-01,N,390484768
2010-07-01,P,434552
2010-07-01,Q,2888627
2010-07-01,R,2061397
2010-07-01,S,4534485
2010-07-01,Z,4925411
2010-08-01,A,19699856
2010-08-01,B,109031088
2010-08-01,C,3058007552
2010-08-01,D,28496224
2010-08-01,E,334849
2010-08-01,F,76335168
2010-08-01,G,1286782848
2010-08-01,H,80611616
2010-08-01,I,2978374
2010-08-01,J,124970504
2010-08-01,K,13203720
2010-08-01,L,4894295
2010-08-01,M,13717108
2010-08-01,N,230493360
2010-08-01,P,359994
2010-08-01,Q,6949003
2010-08-01,R,1776293
2010-08-01,S,4750059
2010-08-01,Z,3621671
2010-09-01,A,25770346
2010-09-01,B,114673528
2010-09-01,C,3147202304
2010-09-01,D,24090862
2010-09-01,E,720720
2010-09-01,F,91140560
2010-09-01,G,1379641856
2010-09-01,H,95126672
2010-09-01,I,1322015
2010-09-01,J,142954016
2010-09-01,K,9478376
2010-09-01,L,4819442
2010-09-01,M,10573640
2010-09-01,N,74376032
2010-09-01,P,362297
2010-09-01,Q,4256576
2010-09-01,R,2884653
2010-09-01,S,5144117
2010-09-01,Z,3600159
2010-10-01,A,21450494
2010-10-01,B,99783848
2010-10-01,C,3019076608
2010-10-01,D,27238426
2010-10-01,E,325542
2010-10-01,F,88137568
2010-10-01,G,1336361216
2010-10-01,H,51460812
2010-10-01,I,3243319
2010-10-01,J,96987232
2010-10-01,K,13231792
2010-10-01,L,3995703
2010-10-01,M,9795335
2010-10-01,N,15565767
2010-10-01,P,325035
2010-10-01,Q,6584794
2010-10-01,R,4439929
2010-10-01,S,6191021
2010-10-01,Z,3131934
2010-11-01,A,22089612
2010-11-01,B,112455344
2010-11-01,C,3383421696
2010-11-01,D,41490904
2010-11-01,E,534875
2010-11-01,F,61503560
2010-11-01,G,1469213184
2010-11-01,H,21445900
2010-11-01,I,3391959
2010-11-01,J,116529904
2010-11-01,K,9889753
2010-11-01,L,5798284
2010-11-01,M,14202862
2010-11-01,N,30566748
2010-11-01,P,155706
2010-11-01,Q,5524481
2010-11-01,R,8799247
2010-11-01,S,5994864
