fecha,clae6,total_fob
2007-02-01,210020,2462062
2007-02-01,210030,1999018
2007-02-01,210090,1864013
2007-02-01,221110,13176962
2007-02-01,221901,576684
2007-02-01,221909,1738339
2007-02-01,222010,11208808
2007-02-01,222090,20332092
2007-02-01,231010,705977
2007-02-01,231020,763077
2007-02-01,231090,916032
2007-02-01,239100,676127
2007-02-01,239201,-99
2007-02-01,239202,2298300
2007-02-01,239209,-99
2007-02-01,239310,-99
2007-02-01,239399,-99
2007-02-01,239410,675450
2007-02-01,239421,42759
2007-02-01,239422,1607397
2007-02-01,239510,280414
2007-02-01,239592,27303
2007-02-01,239593,503330
2007-02-01,239600,472312
2007-02-01,239900,2366144
2007-02-01,241001,127058
2007-02-01,241009,120039064
2007-02-01,242010,43826332
2007-02-01,242090,3199367
2007-02-01,243100,2910128
2007-02-01,243200,2613461
2007-02-01,251101,162023
2007-02-01,251102,893090
2007-02-01,251200,1026746
2007-02-01,252000,709690
2007-02-01,259100,1476973
2007-02-01,259200,221805
2007-02-01,259301,647335
2007-02-01,259302,166074
2007-02-01,259309,148180
2007-02-01,259910,4145990
2007-02-01,259992,-99
2007-02-01,259993,1264441
2007-02-01,259999,8648240
2007-02-01,261000,100476
2007-02-01,262000,2349571
2007-02-01,263000,626327
2007-02-01,264000,768632
2007-02-01,265101,2277555
2007-02-01,265102,336078
2007-02-01,265200,-99
2007-02-01,266010,480593
2007-02-01,266090,1547862
2007-02-01,267001,201132
2007-02-01,271010,2661568
2007-02-01,271020,1639662
2007-02-01,272000,916156
2007-02-01,273110,-99
2007-02-01,273190,4906061
2007-02-01,274000,584085
2007-02-01,275010,520510
2007-02-01,275020,2259764
2007-02-01,275091,29000
2007-02-01,275092,-99
2007-02-01,275099,532709
2007-02-01,279000,2582581
2007-02-01,281100,-99
2007-02-01,281201,1871494
2007-02-01,281301,4031879
2007-02-01,281400,5847453
2007-02-01,281500,80723
2007-02-01,281600,1475270
2007-02-01,281700,-99
2007-02-01,281900,2578659
2007-02-01,282110,-99
2007-02-01,282120,6110167
2007-02-01,282130,195583
2007-02-01,282200,721494
2007-02-01,282300,570078
2007-02-01,282400,1230714
2007-02-01,282500,2397455
2007-02-01,282600,-99
2007-02-01,282901,467735
2007-02-01,282909,13526484
2007-02-01,291000,339952544
2007-02-01,292000,751146
2007-02-01,293011,-99
2007-02-01,293090,51918480
2007-02-01,301100,388243
2007-02-01,301200,666662
2007-02-01,302000,727554
2007-02-01,303000,197577
2007-02-01,309200,-99
2007-02-01,309900,20143
2007-02-01,310010,2030563
2007-02-01,310020,919125
2007-02-01,310030,217517
2007-02-01,321012,-99
2007-02-01,321020,-99
2007-02-01,322001,122708
2007-02-01,323001,191619
2007-02-01,324000,64936
2007-02-01,329010,-99
2007-02-01,329020,155720
2007-02-01,329030,-99
2007-02-01,329040,96660
2007-02-01,329090,1851180
2007-02-01,331210,824534
2007-02-01,331290,-99
2007-02-01,331301,-99
2007-02-01,331400,-99
2007-02-01,331900,419655
2007-02-01,332000,-99
2007-02-01,351110,5766048
2007-02-01,351310,-99
2007-02-01,381200,-99
2007-02-01,382020,1353630
2007-02-01,410011,-99
2007-02-01,410021,304891
2007-02-01,421000,167912
2007-02-01,422200,165207
2007-02-01,429090,49937
2007-02-01,431210,-99
2007-02-01,431220,-99
2007-02-01,432110,-99
2007-02-01,432190,-99
2007-02-01,432200,-99
2007-02-01,432920,-99
2007-02-01,432990,-99
2007-02-01,439910,-99
2007-02-01,439990,-99
2007-02-01,451110,40200
2007-02-01,451190,-99
2007-02-01,452210,-99
2007-02-01,452300,-99
2007-02-01,452910,-99
2007-02-01,452990,-99
2007-02-01,453100,2819731
2007-02-01,453220,-99
2007-02-01,453291,-99
2007-02-01,454010,-99
2007-02-01,461011,11826377
2007-02-01,461013,-99
2007-02-01,461019,317575
2007-02-01,461021,-99
2007-02-01,461029,-99
2007-02-01,461031,-99
2007-02-01,461032,4824554
2007-02-01,461039,769420
2007-02-01,461040,-99
2007-02-01,461091,-99
2007-02-01,461093,-99
2007-02-01,461094,-99
2007-02-01,461095,-99
2007-02-01,461099,24655740
2007-02-01,462120,1270359
2007-02-01,462131,109852816
2007-02-01,462132,-99
2007-02-01,462190,548965
2007-02-01,462201,6961131
2007-02-01,462209,564891
2007-02-01,463111,-99
2007-02-01,463121,9288847
2007-02-01,463129,-99
2007-02-01,463130,2198172
2007-02-01,463140,41758872
2007-02-01,463153,980571
2007-02-01,463154,-99
2007-02-01,463159,-99
2007-02-01,463160,-99
2007-02-01,463170,-99
2007-02-01,463180,317603
2007-02-01,463191,5029691
2007-02-01,463199,7616662
2007-02-01,463211,1482929
2007-02-01,463212,-99
2007-02-01,463219,-99
2007-02-01,463220,767354
2007-02-01,463300,-99
2007-02-01,464111,169853
2007-02-01,464113,-99
2007-02-01,464119,-99
2007-02-01,464129,267384
2007-02-01,464130,204938
2007-02-01,464141,6410985
2007-02-01,464142,-99
2007-02-01,464149,-99
2007-02-01,464211,176747
2007-02-01,464212,43578
2007-02-01,464221,60935
2007-02-01,464223,129054
2007-02-01,464310,4508775
2007-02-01,464320,2262950
2007-02-01,464330,325371
2007-02-01,464340,303498
2007-02-01,464410,-99
2007-02-01,464420,-99
2007-02-01,464501,185864
2007-02-01,464502,191351
2007-02-01,464610,-99
2007-02-01,464620,414275
2007-02-01,464631,-99
2007-02-01,464632,126382
2007-02-01,464910,949297
2007-02-01,464920,-99
2007-02-01,464930,225716
2007-02-01,464950,157934
2007-02-01,464999,205609
2007-02-01,465100,399559
2007-02-01,465210,82738
2007-02-01,465310,965281
2007-02-01,465320,172086
2007-02-01,465330,-99
2007-02-01,465340,168067
2007-02-01,465350,132775
2007-02-01,465390,1026700
2007-02-01,465400,182770
2007-02-01,465690,-99
2007-02-01,465910,-99
2007-02-01,465930,593286
2007-02-01,465990,1272380
2007-02-01,466110,31659
2007-02-01,466121,-99
2007-02-01,466129,548364
2007-02-01,466200,1007692
2007-02-01,466320,262719
2007-02-01,466330,126938
2007-02-01,466340,122632
2007-02-01,466350,-99
2007-02-01,466360,145262
2007-02-01,466391,44059
2007-02-01,466399,16675
2007-02-01,466910,-99
2007-02-01,466931,1106801
2007-02-01,466932,4244481
2007-02-01,466939,771129
2007-02-01,466940,567055
2007-02-01,466990,3067199
2007-02-01,469010,1539104
2007-02-01,469090,19600576
2007-02-01,471110,797225
2007-02-01,471120,5579049
2007-02-01,471190,-99
2007-02-01,471900,-99
2007-02-01,472120,-99
2007-02-01,472190,-99
2007-02-01,472200,-99
2007-02-01,473000,-99
2007-02-01,475110,-99
2007-02-01,475120,-99
2007-02-01,475220,-99
2007-02-01,475230,121191
2007-02-01,475250,-99
2007-02-01,475290,118207
2007-02-01,475300,-99
2007-02-01,475410,58878
2007-02-01,475440,-99
