fecha,letra,total_fob
2009-04-01,H,25807928
2009-04-01,I,85076
2009-04-01,J,6326017
2009-04-01,K,646248
2009-04-01,L,2992634
2009-04-01,M,13049637
2009-04-01,N,6789616
2009-04-01,P,-99
2009-04-01,Q,288223
2009-04-01,R,125813
2009-04-01,S,2387399
2009-04-01,Z,1047548
2009-05-01,A,156719200
2009-05-01,B,446790368
2009-05-01,C,3590014208
2009-05-01,D,11968732
2009-05-01,E,1708851
2009-05-01,F,5757165
2009-05-01,G,641074176
2009-05-01,H,77378296
2009-05-01,I,84898
2009-05-01,J,8241707
2009-05-01,K,422745
2009-05-01,L,3766698
2009-05-01,M,5866773
2009-05-01,N,7582407
2009-05-01,P,-99
2009-05-01,Q,583353
2009-05-01,R,97022
2009-05-01,S,1727254
2009-05-01,Z,1352954
2009-06-01,A,119158560
2009-06-01,B,480854784
2009-06-01,C,3791944448
2009-06-01,D,7787707
2009-06-01,E,1377247
2009-06-01,F,9261116
2009-06-01,G,419651296
2009-06-01,H,59350992
2009-06-01,I,189631
2009-06-01,J,4996073
2009-06-01,K,587201
2009-06-01,L,7737112
2009-06-01,M,7577691
2009-06-01,N,6344265
2009-06-01,P,38928
2009-06-01,Q,238095
2009-06-01,R,102814
2009-06-01,S,3018070
2009-06-01,Z,5059014
2009-07-01,A,121614264
2009-07-01,B,430917856
2009-07-01,C,3624692736
2009-07-01,D,4555384
2009-07-01,E,1060387
2009-07-01,F,5956534
2009-07-01,G,464540160
2009-07-01,H,22008712
2009-07-01,I,126061
2009-07-01,J,9390026
2009-07-01,K,327101
2009-07-01,L,5517569
2009-07-01,M,6174803
2009-07-01,N,6717440
2009-07-01,P,26181
2009-07-01,Q,559679
2009-07-01,R,234094
2009-07-01,S,1601016
2009-07-01,Z,679032
2009-08-01,A,126020512
2009-08-01,B,312846336
2009-08-01,C,3216322560
2009-08-01,D,4357304
2009-08-01,E,1184393
2009-08-01,F,8124421
2009-08-01,G,474346784
2009-08-01,H,25868506
2009-08-01,I,29194
2009-08-01,J,6667454
2009-08-01,K,408611
2009-08-01,L,7514333
2009-08-01,M,5974555
2009-08-01,N,3986015
2009-08-01,P,68545
2009-08-01,Q,490074
2009-08-01,R,1436738
2009-08-01,S,1901096
2009-08-01,Z,869209
2009-09-01,A,141523232
2009-09-01,B,493371392
2009-09-01,C,3332824064
2009-09-01,D,10642210
2009-09-01,E,1355560
2009-09-01,F,8953188
2009-09-01,G,328637952
2009-09-01,H,18883708
2009-09-01,I,54068
2009-09-01,J,4295773
2009-09-01,K,-99
2009-09-01,L,15539102
2009-09-01,M,4712877
2009-09-01,N,9984263
2009-09-01,P,61414
2009-09-01,Q,326777
2009-09-01,R,151559
2009-09-01,S,1214480
2009-09-01,Z,1773987
2009-10-01,A,117655392
2009-10-01,B,619536768
2009-10-01,C,3415205632
2009-10-01,D,8965685
2009-10-01,E,1231006
2009-10-01,F,5952420
2009-10-01,G,310622496
2009-10-01,H,49990472
2009-10-01,I,95461
2009-10-01,J,6806576
2009-10-01,K,375648
2009-10-01,L,13687567
2009-10-01,M,13475630
2009-10-01,N,22057284
2009-10-01,P,-99
2009-10-01,Q,719789
2009-10-01,R,1988470
2009-10-01,S,2295005
2009-10-01,Z,5186108
2009-11-01,A,116171368
2009-11-01,B,391640416
2009-11-01,C,3581194240
2009-11-01,D,4172454
2009-11-01,E,1101620
2009-11-01,F,4438224
2009-11-01,G,368224064
2009-11-01,H,26690984
2009-11-01,I,64071
2009-11-01,J,7593240
2009-11-01,K,-99
2009-11-01,L,17368318
2009-11-01,M,5402341
2009-11-01,N,13536080
2009-11-01,P,57796
2009-11-01,Q,1838969
2009-11-01,R,215045
2009-11-01,S,1735669
2009-11-01,Z,3746940
2009-12-01,A,106982152
2009-12-01,B,583622784
2009-12-01,C,3339317504
2009-12-01,D,3123136
2009-12-01,E,1037178
2009-12-01,F,5828443
2009-12-01,G,376642880
2009-12-01,H,55470636
2009-12-01,I,24691
2009-12-01,J,6203731
2009-12-01,K,-99
2009-12-01,L,13856994
2009-12-01,M,6675773
2009-12-01,N,7239510
2009-12-01,P,11114
2009-12-01,Q,397567
2009-12-01,R,142785
2009-12-01,S,2140972
2009-12-01,Z,3770564
2010-01-01,A,104692784
2010-01-01,B,610591744
2010-01-01,C,2996815616
2010-01-01,D,2655614
2010-01-01,E,1096064
2010-01-01,F,3082371
2010-01-01,G,399031424
2010-01-01,H,53943424
2010-01-01,I,37598
2010-01-01,J,5124163
2010-01-01,K,-99
2010-01-01,L,10765252
2010-01-01,M,3921074
2010-01-01,N,9372155
2010-01-01,P,-99
2010-01-01,Q,449064
2010-01-01,R,27515
2010-01-01,S,1963983
2010-01-01,Z,2457662
2010-02-01,A,111682504
2010-02-01,B,412741536
2010-02-01,C,2714164224
2010-02-01,D,3126830
2010-02-01,E,724039
2010-02-01,F,6488961
2010-02-01,G,353075200
2010-02-01,H,80712992
2010-02-01,I,118056
2010-02-01,J,5940252
2010-02-01,K,-99
2010-02-01,L,5966815
2010-02-01,M,4499233
2010-02-01,N,8323069
2010-02-01,P,-99
2010-02-01,Q,346701
2010-02-01,R,357672
2010-02-01,S,2766300
2010-02-01,Z,3348713
2010-03-01,A,153388256
2010-03-01,B,682968192
2010-03-01,C,2990589952
2010-03-01,D,2974702
2010-03-01,E,450367
2010-03-01,F,5707537
2010-03-01,G,387477440
2010-03-01,H,197813232
2010-03-01,I,151247
2010-03-01,J,5851309
2010-03-01,K,852886
2010-03-01,L,5463203
2010-03-01,M,5936713
2010-03-01,N,18120972
2010-03-01,P,45619
2010-03-01,Q,805631
2010-03-01,R,407033
2010-03-01,S,2295570
2010-03-01,Z,4202367
