fecha,clae6,empresas
2007-02-01,275020,9
2007-02-01,275091,3
2007-02-01,275092,-99
2007-02-01,275099,24
2007-02-01,279000,46
2007-02-01,281100,-99
2007-02-01,281201,17
2007-02-01,281301,18
2007-02-01,281400,5
2007-02-01,281500,4
2007-02-01,281600,10
2007-02-01,281700,-99
2007-02-01,281900,42
2007-02-01,282110,-99
2007-02-01,282120,49
2007-02-01,282130,5
2007-02-01,282200,15
2007-02-01,282300,12
2007-02-01,282400,6
2007-02-01,282500,37
2007-02-01,282600,-99
2007-02-01,282901,10
2007-02-01,282909,109
2007-02-01,291000,11
2007-02-01,292000,7
2007-02-01,293011,-99
2007-02-01,293090,207
2007-02-01,301100,4
2007-02-01,301200,5
2007-02-01,302000,4
2007-02-01,303000,3
2007-02-01,309200,-99
2007-02-01,309900,3
2007-02-01,310010,35
2007-02-01,310020,15
2007-02-01,310030,5
2007-02-01,321012,-99
2007-02-01,321020,-99
2007-02-01,322001,4
2007-02-01,323001,8
2007-02-01,324000,6
2007-02-01,329010,-99
2007-02-01,329020,4
2007-02-01,329030,-99
2007-02-01,329040,4
2007-02-01,329090,33
2007-02-01,331210,3
2007-02-01,331290,-99
2007-02-01,331301,-99
2007-02-01,331400,-99
2007-02-01,331900,6
2007-02-01,332000,-99
2007-02-01,351110,4
2007-02-01,351310,-99
2007-02-01,381200,-99
2007-02-01,382020,6
2007-02-01,410011,-99
2007-02-01,410021,7
2007-02-01,421000,3
2007-02-01,422200,7
2007-02-01,429090,3
2007-02-01,431210,-99
2007-02-01,431220,-99
2007-02-01,432110,-99
2007-02-01,432190,-99
2007-02-01,432200,-99
2007-02-01,432920,-99
2007-02-01,432990,-99
2007-02-01,439910,-99
2007-02-01,439990,-99
2007-02-01,451110,3
2007-02-01,451190,-99
2007-02-01,452210,-99
2007-02-01,452300,-99
2007-02-01,452910,-99
2007-02-01,452990,-99
2007-02-01,453100,39
2007-02-01,453220,-99
2007-02-01,453291,-99
2007-02-01,454010,-99
2007-02-01,461011,16
2007-02-01,461013,-99
2007-02-01,461019,7
2007-02-01,461021,-99
2007-02-01,461029,-99
2007-02-01,461031,-99
2007-02-01,461032,13
2007-02-01,461039,3
2007-02-01,461040,-99
2007-02-01,461091,-99
2007-02-01,461093,-99
2007-02-01,461094,-99
2007-02-01,461095,-99
2007-02-01,461099,8
2007-02-01,462120,8
2007-02-01,462131,40
2007-02-01,462132,-99
2007-02-01,462190,7
2007-02-01,462201,10
2007-02-01,462209,4
2007-02-01,463111,-99
2007-02-01,463121,10
2007-02-01,463129,-99
2007-02-01,463130,10
2007-02-01,463140,68
2007-02-01,463153,5
2007-02-01,463154,-99
2007-02-01,463159,-99
2007-02-01,463160,-99
2007-02-01,463170,-99
2007-02-01,463180,4
2007-02-01,463191,18
2007-02-01,463199,31
2007-02-01,463211,5
2007-02-01,463212,-99
2007-02-01,463219,-99
2007-02-01,463220,3
2007-02-01,463300,-99
2007-02-01,464111,5
2007-02-01,464113,-99
2007-02-01,464119,-99
2007-02-01,464129,7
2007-02-01,464130,4
2007-02-01,464141,11
2007-02-01,464142,-99
2007-02-01,464149,-99
2007-02-01,464211,18
2007-02-01,464212,4
2007-02-01,464221,5
2007-02-01,464223,5
2007-02-01,464310,30
2007-02-01,464320,18
2007-02-01,464330,9
2007-02-01,464340,7
2007-02-01,464410,-99
2007-02-01,464420,-99
2007-02-01,464501,3
2007-02-01,464502,10
2007-02-01,464610,-99
2007-02-01,464620,4
2007-02-01,464631,-99
2007-02-01,464632,4
2007-02-01,464910,7
2007-02-01,464920,-99
2007-02-01,464930,3
2007-02-01,464950,4
2007-02-01,464999,5
2007-02-01,465100,6
2007-02-01,465210,6
2007-02-01,465310,10
2007-02-01,465320,8
2007-02-01,465330,-99
2007-02-01,465340,9
2007-02-01,465350,14
2007-02-01,465390,13
2007-02-01,465400,8
2007-02-01,465690,-99
2007-02-01,465910,-99
2007-02-01,465930,11
2007-02-01,465990,22
2007-02-01,466110,3
2007-02-01,466121,-99
2007-02-01,466129,8
2007-02-01,466200,14
2007-02-01,466320,6
2007-02-01,466330,8
2007-02-01,466340,3
2007-02-01,466350,-99
2007-02-01,466360,6
2007-02-01,466391,3
2007-02-01,466399,4
2007-02-01,466910,-99
2007-02-01,466931,5
2007-02-01,466932,14
2007-02-01,466939,7
2007-02-01,466940,3
2007-02-01,466990,7
2007-02-01,469010,4
2007-02-01,469090,100
2007-02-01,471110,3
2007-02-01,471120,5
2007-02-01,471190,-99
2007-02-01,471900,-99
2007-02-01,472120,-99
2007-02-01,472190,-99
2007-02-01,472200,-99
2007-02-01,473000,-99
2007-02-01,475110,-99
2007-02-01,475120,-99
2007-02-01,475220,-99
2007-02-01,475230,4
2007-02-01,475250,-99
2007-02-01,475290,6
2007-02-01,475300,-99
2007-02-01,475410,3
2007-02-01,475440,-99
2007-02-01,475490,5
2007-02-01,476110,8
2007-02-01,476130,-99
2007-02-01,476200,-99
2007-02-01,476310,-99
2007-02-01,476320,-99
2007-02-01,477110,-99
2007-02-01,477130,3
2007-02-01,477140,3
2007-02-01,477150,-99
2007-02-01,477190,19
2007-02-01,477210,-99
2007-02-01,477220,4
2007-02-01,477290,-99
2007-02-01,477310,-99
2007-02-01,477320,4
2007-02-01,477330,4
2007-02-01,477410,-99
2007-02-01,477420,-99
2007-02-01,477440,3
2007-02-01,477470,-99
2007-02-01,477480,5
2007-02-01,477490,10
2007-02-01,477810,-99
2007-02-01,477830,7
2007-02-01,479900,4
2007-02-01,492150,-99
2007-02-01,492180,-99
2007-02-01,492210,-99
2007-02-01,492229,3
2007-02-01,492280,-99
2007-02-01,492290,9
2007-02-01,493110,-99
2007-02-01,493200,-99
2007-02-01,501200,6
2007-02-01,502200,-99
2007-02-01,511000,5
2007-02-01,512000,-99
2007-02-01,522010,-99
2007-02-01,522020,6
2007-02-01,522091,-99
2007-02-01,522099,6
2007-02-01,523011,18
2007-02-01,523019,-99
2007-02-01,523020,-99
2007-02-01,523031,-99
2007-02-01,523039,-99
2007-02-01,523090,24
2007-02-01,524120,-99
2007-02-01,524230,-99
2007-02-01,524290,-99
2007-02-01,524390,3
2007-02-01,551022,-99
2007-02-01,551090,-99
2007-02-01,561011,-99
2007-02-01,561019,3
2007-02-01,561030,-99
2007-02-01,562010,-99
2007-02-01,581100,48
2007-02-01,581300,14
2007-02-01,581900,-99
2007-02-01,591110,3
2007-02-01,591120,-99
2007-02-01,591200,8
2007-02-01,591300,-99
2007-02-01,592000,-99
2007-02-01,602100,-99
2007-02-01,602200,-99
2007-02-01,602310,3
2007-02-01,602320,3
2007-02-01,611090,-99
2007-02-01,612000,-99
2007-02-01,613000,-99
2007-02-01,614010,-99
2007-02-01,619000,4
2007-02-01,620100,14
2007-02-01,620900,10
2007-02-01,649999,-99
2007-02-01,681098,32
2007-02-01,681099,8
2007-02-01,682010,-99
2007-02-01,691001,-99
