fecha,clae6,total_cif
2007-01-01,920009,2449047
2007-01-01,931020,-99
2007-01-01,931030,-99
2007-01-01,939010,-99
2007-01-01,939020,-99
2007-01-01,939090,94461
2007-01-01,941100,-99
2007-01-01,949100,1062022
2007-01-01,949990,693128
2007-01-01,951100,895346
2007-01-01,951200,116802
2007-01-01,952100,105704
2007-01-01,952920,-99
2007-01-01,952990,-99
2007-01-01,960102,-99
2007-01-01,960990,1394892
2007-01-01,999999,1659760
2007-02-01,11111,-99
2007-02-01,11112,200145
2007-02-01,11119,234336
2007-02-01,11121,-99
2007-02-01,11211,546749
2007-02-01,11299,-99
2007-02-01,11310,8183
2007-02-01,11331,96612
2007-02-01,11342,-99
2007-02-01,11911,-99
2007-02-01,11912,-99
2007-02-01,12110,652918
2007-02-01,12200,166525
2007-02-01,12311,149403
2007-02-01,12319,-99
2007-02-01,12320,-99
2007-02-01,12490,655188
2007-02-01,12900,-99
2007-02-01,13011,371114
2007-02-01,13012,1320270
2007-02-01,13013,-99
2007-02-01,13019,704874
2007-02-01,13020,61046
2007-02-01,14113,528913
2007-02-01,14211,-99
2007-02-01,14221,37608
2007-02-01,14410,-99
2007-02-01,14510,-99
2007-02-01,14610,-99
2007-02-01,14810,114687
2007-02-01,14820,144047
2007-02-01,14990,-99
2007-02-01,16111,-99
2007-02-01,16112,-99
2007-02-01,16113,-99
2007-02-01,16120,-99
2007-02-01,16190,-99
2007-02-01,16210,-99
2007-02-01,16291,-99
2007-02-01,16299,-99
2007-02-01,21030,-99
2007-02-01,22010,-99
2007-02-01,22020,-99
2007-02-01,24010,-99
2007-02-01,31110,131449
2007-02-01,31120,3701144
2007-02-01,31130,-99
2007-02-01,31200,-99
2007-02-01,31300,-99
2007-02-01,32000,-99
2007-02-01,51000,-99
2007-02-01,61000,29492412
2007-02-01,62000,-99
2007-02-01,72910,6103940
2007-02-01,72990,13345220
2007-02-01,81100,-99
2007-02-01,81200,-99
2007-02-01,81300,119230
2007-02-01,81400,-99
2007-02-01,89120,-99
2007-02-01,89300,-99
2007-02-01,89900,766329
2007-02-01,91000,27136096
2007-02-01,99000,464670
2007-02-01,101011,791132
2007-02-01,101012,-99
2007-02-01,101020,468238
2007-02-01,101030,4447465
2007-02-01,101040,-99
2007-02-01,101091,133193
2007-02-01,101099,-99
2007-02-01,102001,4201531
2007-02-01,102002,-99
2007-02-01,103011,2753247
2007-02-01,103012,-99
2007-02-01,103020,1613993
2007-02-01,103030,1193570
2007-02-01,103091,201615
2007-02-01,103099,2472644
2007-02-01,104011,60456352
2007-02-01,104012,506595
2007-02-01,104013,3611278
2007-02-01,105010,1233573
2007-02-01,105020,1033044
2007-02-01,105090,2321091
2007-02-01,106110,286499
2007-02-01,106120,-99
2007-02-01,106131,517102
2007-02-01,106139,-99
2007-02-01,106200,-99
2007-02-01,107110,1114637
2007-02-01,107121,317774
2007-02-01,107129,-99
2007-02-01,107200,2127061
2007-02-01,107301,4545455
2007-02-01,107309,7728020
2007-02-01,107410,-99
2007-02-01,107420,-99
2007-02-01,107911,4842274
2007-02-01,107912,525556
2007-02-01,107920,268840
2007-02-01,107930,277983
2007-02-01,107991,876005
2007-02-01,107992,-99
2007-02-01,107999,8271633
2007-02-01,108000,1329121
2007-02-01,109000,111077
2007-02-01,110100,1501986
2007-02-01,110211,-99
2007-02-01,110212,6493779
2007-02-01,110290,-99
2007-02-01,110300,2197640
2007-02-01,110411,2007369
2007-02-01,110420,2535179
2007-02-01,110492,5800492
2007-02-01,120010,-99
2007-02-01,120091,7093735
2007-02-01,120099,91420
2007-02-01,131110,2125534
2007-02-01,131120,160357
2007-02-01,131131,653919
2007-02-01,131132,2794632
2007-02-01,131139,13605654
2007-02-01,131201,-99
2007-02-01,131202,3351878
2007-02-01,131209,5963302
2007-02-01,131300,3146290
2007-02-01,139100,4661308
2007-02-01,139201,-99
2007-02-01,139202,2618938
2007-02-01,139203,-99
2007-02-01,139204,595733
2007-02-01,139209,4150460
2007-02-01,139300,955676
2007-02-01,139400,149607
2007-02-01,139900,11241539
2007-02-01,141110,540219
2007-02-01,141120,555085
2007-02-01,141130,1468009
2007-02-01,141140,-99
2007-02-01,141191,217742
2007-02-01,141199,3119332
2007-02-01,141201,-99
2007-02-01,141202,146626
2007-02-01,143010,150176
2007-02-01,143020,444941
2007-02-01,151100,8355766
2007-02-01,151200,613066
2007-02-01,152011,1262739
2007-02-01,152021,258180
2007-02-01,152031,7467028
2007-02-01,152040,708532
2007-02-01,161001,374162
2007-02-01,161002,260832
2007-02-01,162100,3716889
2007-02-01,162201,413605
2007-02-01,162903,906518
2007-02-01,162909,686507
2007-02-01,170101,-99
2007-02-01,170102,6153973
2007-02-01,170201,1856696
2007-02-01,170202,17013764
