fecha,clae2,total_cif
2007-06-01,35,7801771
2007-06-01,36,-99
2007-06-01,37,-99
2007-06-01,38,659670
2007-06-01,39,-99
2007-06-01,41,1811494
2007-06-01,42,7241851
2007-06-01,43,9487162
2007-06-01,45,89106368
2007-06-01,46,710974976
2007-06-01,47,97098904
2007-06-01,49,3876065
2007-06-01,50,258565
2007-06-01,51,29177260
2007-06-01,52,15998842
2007-06-01,53,8077
2007-06-01,55,186573
2007-06-01,56,1247107
2007-06-01,58,6387566
2007-06-01,59,485867
2007-06-01,60,7347584
2007-06-01,61,131986992
2007-06-01,62,9681092
2007-06-01,63,1331714
2007-06-01,64,8342971
2007-06-01,65,-99
2007-06-01,66,-99
2007-06-01,68,4189755
2007-06-01,69,-99
2007-06-01,70,5308295
2007-06-01,71,7521554
2007-06-01,72,795382
2007-06-01,73,1012936
2007-06-01,74,464439
2007-06-01,75,-99
2007-06-01,77,8211935
2007-06-01,78,-99
2007-06-01,79,116958
2007-06-01,80,425534
2007-06-01,82,228195840
2007-06-01,85,184206
2007-06-01,86,2329314
2007-06-01,90,229821
2007-06-01,91,-99
2007-06-01,92,1512631
2007-06-01,93,264697
2007-06-01,94,919416
2007-06-01,95,1131221
2007-06-01,96,5418464
2007-06-01,999,2992712
2007-07-01,1,10563543
2007-07-01,2,182855
2007-07-01,3,2089576
2007-07-01,6,179601616
2007-07-01,7,22782788
2007-07-01,8,2559244
2007-07-01,9,36438528
2007-07-01,10,199822256
2007-07-01,11,19499766
2007-07-01,12,10684627
2007-07-01,13,67642168
2007-07-01,14,9215143
2007-07-01,15,22282204
2007-07-01,16,13298324
2007-07-01,17,71486704
2007-07-01,18,13476894
2007-07-01,19,28212404
2007-07-01,20,245806096
2007-07-01,21,84120720
2007-07-01,22,108647624
2007-07-01,23,27980772
2007-07-01,24,211310720
2007-07-01,25,39573832
2007-07-01,26,127869968
2007-07-01,27,63574680
2007-07-01,28,70868464
2007-07-01,29,836296640
2007-07-01,30,16665748
2007-07-01,31,4469816
2007-07-01,32,7037457
2007-07-01,33,18555520
2007-07-01,35,9970013
2007-07-01,36,-99
2007-07-01,37,-99
2007-07-01,38,5122550
2007-07-01,39,-99
2007-07-01,41,1116155
2007-07-01,42,8291573
2007-07-01,43,4994677
2007-07-01,45,84901576
2007-07-01,46,817976448
2007-07-01,47,93017152
2007-07-01,49,10672141
2007-07-01,50,521481
2007-07-01,51,12665609
2007-07-01,52,10748522
2007-07-01,53,7302
2007-07-01,55,465935
2007-07-01,56,2418007
2007-07-01,58,9149328
2007-07-01,59,717094
2007-07-01,60,11963514
2007-07-01,61,128067440
2007-07-01,62,7179668
2007-07-01,63,1236913
2007-07-01,64,8957883
2007-07-01,65,1920147
2007-07-01,68,5516077
2007-07-01,69,118350
2007-07-01,70,8369513
2007-07-01,71,3785693
2007-07-01,72,1255611
2007-07-01,73,915145
2007-07-01,74,65360
2007-07-01,75,-99
2007-07-01,77,5924363
2007-07-01,79,40418
2007-07-01,80,191110
2007-07-01,81,-99
2007-07-01,82,257685024
2007-07-01,85,131839
2007-07-01,86,4496252
2007-07-01,87,-99
2007-07-01,90,20474
2007-07-01,91,-99
2007-07-01,92,2126072
2007-07-01,93,450156
2007-07-01,94,1366400
2007-07-01,95,706800
2007-07-01,96,1213429
2007-07-01,999,3971664
2007-08-01,1,16057122
2007-08-01,2,92444
2007-08-01,3,1617265
2007-08-01,5,-99
2007-08-01,6,197108608
2007-08-01,7,22242500
2007-08-01,8,3824422
2007-08-01,9,33525952
2007-08-01,10,221234064
2007-08-01,11,30309642
2007-08-01,12,9915346
2007-08-01,13,85217032
2007-08-01,14,11034694
2007-08-01,15,25618412
2007-08-01,16,11435866
2007-08-01,17,73949464
2007-08-01,18,13968603
2007-08-01,19,20040782
2007-08-01,20,252653264
2007-08-01,21,74142016
2007-08-01,22,117985376
2007-08-01,23,33456804
2007-08-01,24,201355776
2007-08-01,25,48532316
2007-08-01,26,123873992
2007-08-01,27,71158096
2007-08-01,28,79954784
2007-08-01,29,833966592
2007-08-01,30,22510778
2007-08-01,31,5534555
2007-08-01,32,31928576
2007-08-01,33,16482990
2007-08-01,35,35938212
2007-08-01,36,-99
2007-08-01,37,-99
2007-08-01,38,2145971
2007-08-01,39,-99
2007-08-01,41,1505683
2007-08-01,42,8852603
2007-08-01,43,10086058
2007-08-01,45,104613224
2007-08-01,46,815976192
2007-08-01,47,111670312
2007-08-01,49,7359820
2007-08-01,50,411445
2007-08-01,51,140681504
2007-08-01,52,12113932
2007-08-01,53,81479
2007-08-01,55,566627
2007-08-01,56,2143337
2007-08-01,58,7906618
2007-08-01,59,649237
2007-08-01,60,11467288
2007-08-01,61,143610688
2007-08-01,62,9981768
2007-08-01,63,1076871
2007-08-01,64,18653516
2007-08-01,65,634403
2007-08-01,66,32731
2007-08-01,68,7333198
2007-08-01,69,8461
2007-08-01,70,7775883
2007-08-01,71,14822491
2007-08-01,72,823869
2007-08-01,73,1115609
2007-08-01,74,86132
2007-08-01,75,-99
2007-08-01,77,5622026
2007-08-01,78,51311
2007-08-01,79,161707
2007-08-01,80,259788
2007-08-01,82,334032320
2007-08-01,85,206121
2007-08-01,86,3365927
2007-08-01,87,-99
2007-08-01,90,58366
2007-08-01,91,-99
2007-08-01,92,3935520
2007-08-01,93,897750
2007-08-01,94,1086722
2007-08-01,95,1617991
2007-08-01,96,1391967
2007-08-01,999,4214804
2007-09-01,1,13895550
2007-09-01,2,98922
2007-09-01,3,7222476
2007-09-01,6,174777840
2007-09-01,7,23325276
2007-09-01,8,1178748
2007-09-01,9,29999696
2007-09-01,10,191369168
2007-09-01,11,22064040
2007-09-01,12,7051808
2007-09-01,13,91004384
2007-09-01,14,10359516
2007-09-01,15,26350136
2007-09-01,16,8039158
2007-09-01,17,65960080
2007-09-01,18,16687338
2007-09-01,19,38770184
2007-09-01,20,248207024
2007-09-01,21,68461568
2007-09-01,22,108510744
2007-09-01,23,23134416
2007-09-01,24,194898240
2007-09-01,25,41089004
2007-09-01,26,118493792
2007-09-01,27,71651424
2007-09-01,28,87615696
2007-09-01,29,762185024
2007-09-01,30,15547525
2007-09-01,31,4525515
2007-09-01,32,6495586
2007-09-01,33,13076749
2007-09-01,35,17474404
2007-09-01,36,-99
2007-09-01,38,2838773
2007-09-01,41,1731027
2007-09-01,42,9546250
2007-09-01,43,5758317
2007-09-01,45,104215992
2007-09-01,46,794900160
2007-09-01,47,111872032
2007-09-01,49,4473498
2007-09-01,50,333940
2007-09-01,51,48649352
2007-09-01,52,10235587
2007-09-01,53,5697
2007-09-01,55,324639
2007-09-01,56,1096432
2007-09-01,58,6572952
2007-09-01,59,798079
2007-09-01,60,7281049
2007-09-01,61,98684472
2007-09-01,62,15214182
2007-09-01,63,468366
2007-09-01,64,36154208
2007-09-01,65,-99
2007-09-01,68,10675011
2007-09-01,69,79221
2007-09-01,70,5003045
2007-09-01,71,3925145
2007-09-01,72,871488
2007-09-01,73,3324346
2007-09-01,74,298356
2007-09-01,75,-99
2007-09-01,77,6330939
2007-09-01,78,-99
2007-09-01,79,-99
2007-09-01,80,270147
2007-09-01,81,-99
2007-09-01,82,64084760
2007-09-01,85,292260
2007-09-01,86,3999697
2007-09-01,90,43827
2007-09-01,91,-99
2007-09-01,92,1100238
2007-09-01,93,458843
2007-09-01,94,2177377
2007-09-01,95,827539
2007-09-01,96,3906558
2007-09-01,999,4254061
2007-10-01,1,12834080
2007-10-01,2,252338
2007-10-01,3,2191329
2007-10-01,5,-99
2007-10-01,6,157058224
2007-10-01,7,34900480
2007-10-01,8,19928020
2007-10-01,9,30289812
2007-10-01,10,171143408
2007-10-01,11,30488406
2007-10-01,12,7894458
2007-10-01,13,92910128
2007-10-01,14,12608564
2007-10-01,15,31515452
2007-10-01,16,11562264
2007-10-01,17,76252088
2007-10-01,18,15992876
2007-10-01,19,28060428
2007-10-01,20,286973472
2007-10-01,21,82453792
2007-10-01,22,137626432
2007-10-01,23,34068896
2007-10-01,24,232941392
2007-10-01,25,48652708
2007-10-01,26,127591264
2007-10-01,27,69611312
2007-10-01,28,111728368
2007-10-01,29,851658624
2007-10-01,30,24491306
2007-10-01,31,5733807
2007-10-01,32,10249439
2007-10-01,33,14064740
2007-10-01,35,56733420
2007-10-01,36,-99
2007-10-01,37,-99
2007-10-01,38,1246967
2007-10-01,41,1818842
2007-10-01,42,13303645
2007-10-01,43,6525247
2007-10-01,45,107104920
2007-10-01,46,884431232
2007-10-01,47,129424464
2007-10-01,49,7948779
2007-10-01,50,305389
2007-10-01,51,26410676
2007-10-01,52,14621561
2007-10-01,53,138770
2007-10-01,55,152023
2007-10-01,56,2223812
2007-10-01,58,9646265
2007-10-01,59,509849
2007-10-01,60,9779767
2007-10-01,61,145335984
2007-10-01,62,13420730
2007-10-01,63,484906
2007-10-01,64,29188034
2007-10-01,65,-99
2007-10-01,66,-99
2007-10-01,68,13044230
2007-10-01,69,67689
2007-10-01,70,28711402
2007-10-01,71,3493179
2007-10-01,72,2081209
2007-10-01,73,794809
2007-10-01,74,274699
2007-10-01,75,69692
2007-10-01,77,6668054
2007-10-01,79,3530
2007-10-01,80,311337
