fecha,letra,empresas
2011-06-01,D,6
2011-06-01,E,3
2011-06-01,F,48
2011-06-01,G,1122
2011-06-01,H,92
2011-06-01,I,5
2011-06-01,J,128
2011-06-01,K,3
2011-06-01,L,27
2011-06-01,M,72
2011-06-01,N,49
2011-06-01,O,-99
2011-06-01,P,4
2011-06-01,Q,4
2011-06-01,R,7
2011-06-01,S,24
2011-06-01,Z,15
2011-07-01,A,308
2011-07-01,B,84
2011-07-01,C,3704
2011-07-01,D,4
2011-07-01,E,3
2011-07-01,F,39
2011-07-01,G,1123
2011-07-01,H,97
2011-07-01,I,7
2011-07-01,J,124
2011-07-01,K,-99
2011-07-01,L,22
2011-07-01,M,72
2011-07-01,N,49
2011-07-01,O,-99
2011-07-01,P,4
2011-07-01,Q,4
2011-07-01,R,4
2011-07-01,S,27
2011-07-01,Z,17
2011-08-01,A,330
2011-08-01,B,86
2011-08-01,C,3686
2011-08-01,D,7
2011-08-01,E,6
2011-08-01,F,38
2011-08-01,G,1093
2011-08-01,H,89
2011-08-01,I,5
2011-08-01,J,105
2011-08-01,K,3
2011-08-01,L,25
2011-08-01,M,72
2011-08-01,N,48
2011-08-01,P,3
2011-08-01,Q,3
2011-08-01,R,4
2011-08-01,S,22
2011-08-01,Z,11
2011-09-01,A,346
2011-09-01,B,90
2011-09-01,C,3803
2011-09-01,D,6
2011-09-01,E,5
2011-09-01,F,50
2011-09-01,G,1159
2011-09-01,H,87
2011-09-01,I,5
2011-09-01,J,111
2011-09-01,K,4
2011-09-01,L,23
2011-09-01,M,71
2011-09-01,N,45
2011-09-01,O,-99
2011-09-01,P,-99
2011-09-01,Q,4
2011-09-01,R,7
2011-09-01,S,20
2011-09-01,Z,19
2011-10-01,A,314
2011-10-01,B,92
2011-10-01,C,3728
2011-10-01,D,8
2011-10-01,E,3
2011-10-01,F,38
2011-10-01,G,1132
2011-10-01,H,102
2011-10-01,I,5
2011-10-01,J,117
2011-10-01,K,3
2011-10-01,L,21
2011-10-01,M,93
2011-10-01,N,50
2011-10-01,O,-99
2011-10-01,P,-99
2011-10-01,Q,3
2011-10-01,R,3
2011-10-01,S,24
2011-10-01,Z,19
2011-11-01,A,333
2011-11-01,B,92
2011-11-01,C,3754
2011-11-01,D,6
2011-11-01,E,-99
2011-11-01,F,44
2011-11-01,G,1166
2011-11-01,H,96
2011-11-01,I,6
2011-11-01,J,122
2011-11-01,K,3
2011-11-01,L,27
2011-11-01,M,66
2011-11-01,N,52
2011-11-01,P,5
2011-11-01,Q,4
2011-11-01,R,6
2011-11-01,S,23
2011-11-01,Z,14
2011-12-01,A,349
2011-12-01,B,87
2011-12-01,C,3685
2011-12-01,D,10
2011-12-01,E,-99
2011-12-01,F,42
2011-12-01,G,1183
2011-12-01,H,104
2011-12-01,I,5
2011-12-01,J,113
2011-12-01,K,3
2011-12-01,L,22
2011-12-01,M,66
2011-12-01,N,46
2011-12-01,O,-99
2011-12-01,P,4
2011-12-01,Q,-99
2011-12-01,R,5
2011-12-01,S,26
2011-12-01,Z,13
2012-01-01,A,303
2012-01-01,B,81
2012-01-01,C,3435
2012-01-01,D,8
2012-01-01,E,3
2012-01-01,F,34
2012-01-01,G,1065
2012-01-01,H,87
2012-01-01,I,4
2012-01-01,J,109
2012-01-01,K,3
2012-01-01,L,23
2012-01-01,M,74
2012-01-01,N,34
2012-01-01,P,-99
2012-01-01,Q,6
2012-01-01,R,4
2012-01-01,S,21
2012-01-01,Z,7
2012-02-01,A,302
2012-02-01,B,84
2012-02-01,C,3230
2012-02-01,D,6
2012-02-01,E,3
2012-02-01,F,32
2012-02-01,G,1013
2012-02-01,H,72
2012-02-01,I,4
2012-02-01,J,86
2012-02-01,K,-99
2012-02-01,L,18
2012-02-01,M,73
2012-02-01,N,43
2012-02-01,O,-99
2012-02-01,P,-99
2012-02-01,Q,5
2012-02-01,R,6
2012-02-01,S,18
2012-02-01,Z,14
2012-03-01,A,364
2012-03-01,B,88
2012-03-01,C,3573
2012-03-01,D,7
2012-03-01,E,3
2012-03-01,F,36
2012-03-01,G,1143
2012-03-01,H,96
2012-03-01,I,6
2012-03-01,J,116
2012-03-01,K,3
2012-03-01,L,19
